,name,n_comps,first_comp,last_comp,years_comp,class
0,Abigail ROBINSON,9.0,2018-07-18,2023-08-10,1849 days,WOMEN B2
1,Adam PAYNE,3.0,2014-09-14,2018-09-16,1463 days,MEN NEUROLOGICAL PHYSICAL DISABILITY B
2,Adriana TOFAN,3.0,2022-07-09,2023-08-10,397 days,WOMEN B3
3,Agnes LOPEZ,1.0,2019-07-17,2019-07-17,0 days,WOMEN RP3
4,Aika YOSHIDA,4.0,2014-09-14,2019-07-17,1767 days,WOMEN NEUROLOGICAL PHYSICAL DISABILITY B
5,Albert GUARDIA FERRER,19.0,2016-07-17,2023-08-10,2580 days,MEN AL2
6,Aleksandr UKHATKIN,1.0,2021-09-17,2021-09-17,0 days,MEN AL2
7,Alessandra MAMMI,4.0,2016-06-25,2017-09-24,456 days,WOMEN B2
8,Alessandro NERI,6.0,2018-07-18,2022-06-22,1435 days,MEN RP3
9,Alessio CORNAMUSINI,21.0,2012-09-16,2023-06-24,3933 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
10,Alex DOWNES,2.0,2023-06-13,2023-08-10,58 days,MEN RP1
11,Alexander DORNBUSCH,6.0,2022-05-26,2023-08-10,441 days,MEN RP1
12,Alexandra REDSHAW,1.0,2022-05-26,2022-05-26,0 days,WOMEN AU2
13,Alexandru BENCHEA,5.0,2019-07-17,2023-08-10,1485 days,MEN B1
14,Alexandru Mihai SIMION,1.0,2021-07-15,2021-07-15,0 days,MEN B3
15,Algimantas VALAITIS,2.0,2016-09-18,2018-09-16,728 days,MEN AL2
16,Alina-florina DINUTA,1.0,2022-07-09,2022-07-09,0 days,WOMEN B3
17,Allison WHITE,1.0,2019-07-17,2019-07-17,0 days,WOMEN RP2
18,Amir SABZI,2.0,2018-07-18,2019-07-17,364 days,MEN RP2
19,Amruta WYSSMANN,7.0,2022-05-26,2023-08-10,441 days,WOMEN AU2
20,Amy MULLINS,2.0,2016-09-18,2023-08-10,2517 days,WOMEN RP3
21,Anastasiia KOMAR,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP1
22,Andrea SÁNCHEZ APARICIO,8.0,2021-06-24,2023-08-10,777 days,WOMEN RP1
23,Andreas BAND,6.0,2017-07-09,2019-07-17,738 days,MEN AU1
24,Andreas ENGELHARD,4.0,2014-08-29,2016-07-17,688 days,MEN NEUROLOGICAL PHYSICAL DISABILITY A
25,Andreas SUHNER,3.0,2022-06-22,2023-08-10,414 days,MEN RP3
26,Andrei-serban POPA-FLOREA,2.0,2021-06-24,2021-07-15,21 days,MEN RP2
27,Andrej HARŠÁNY,7.0,2019-07-17,2023-08-10,1485 days,MEN RP3
28,Andrey TIHOMIROV,1.0,2021-09-17,2021-09-17,0 days,MEN AL2
29,András SZIJÁRTÓ,10.0,2012-09-16,2019-07-17,2495 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
30,Angela FALLEGGER,6.0,2022-06-22,2023-08-10,414 days,WOMEN RP2
