,event,rank,para_class,date,name,age,country,age_at_event
0,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,28,JUNIORS FEMALE,2023-09-16,Aada ASUNTA,19,FIN,19
1,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",30,JUNIORS FEMALE,2023-07-02,Aada ASUNTA,19,FIN,19
2,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",33,YOUTH A FEMALE,2021-06-13,Aada ASUNTA,19,FIN,17
3,"IFSC Pan Am - Continental Championships (B,S,L) - Ibarra (ECU) 2021",14,MEN,2021-12-06,Aaron PEÑARANDA,22,ECU,20
4,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",83,MEN,2021-09-21,Aaron PEÑARANDA,22,ECU,20
5,"PanAmerican Youth Championships (L, S, B) - Ibarra (ECU) 2019",2,JUNIORS MALE,2019-12-08,Aaron PEÑARANDA,22,ECU,18
6,IFSC Youth World Championships - Arco (ITA) 2019,51,JUNIORS MALE,2019-08-31,Aaron PEÑARANDA,22,ECU,18
7,"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",4,MEN,2018-11-26,Aaron PEÑARANDA,22,ECU,17
8,IFSC Youth World Championships - Innsbruck (AUT) - 2017,81,YOUTH A MALE,2017-09-10,Aaron PEÑARANDA,22,ECU,16
9,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,38,YOUTH A MALE,2023-06-18,Aaron RANTANEN,16,FIN,16
10,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",35,YOUTH B MALE,2022-09-01,Aaron RANTANEN,16,FIN,15
11,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2022",36,YOUTH B MALE,2022-05-29,Aaron RANTANEN,16,FIN,15
12,Asian Continental Championship - Ningbo (CHN) 2015,25,MEN,2015-11-24,Aaron TAN,33,SGP,25
13,UIAA Worldcup - Birmingham 1995,52,MEN,1995-11-25,Aaron TONKS,51,GBR,23
14,IFSC Youth World Championships - Arco (ITA) 2019,67,YOUTH B FEMALE,2019-08-31,Abby GEBERT,19,NZL,15
15,IFSC Youth World Championships - Moscow (RUS) 2018,55,YOUTH B FEMALE,2018-08-16,Abby GEBERT,19,NZL,14
16,"IFSC - Climbing World Cup (L,S) - Villars (SUI) 2021",52,WOMEN,2021-07-03,Abdul Rochman SYARIFAH,30,INA,28
